Brand,Model,Type,Screen Size,Screen Resolution,RAM,Operating System,CPU Brand,CPU Model,CPU Rate,SSD,HDD,GPU Brand,GPU Model,Price
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,Intel,UHD Graphics 620,1849.0
Toshiba,Satellite Pro,Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,128,0,Intel,HD Graphics 620,793.0
Xiaomi,Mi Notebook,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,No OS,Intel,Core i5 8250U,1.6GHz,256,0,Nvidia,GeForce MX150,1199.0
Dell,Inspiron 7773,Notebook,17.3,Full HD / Touchscreen 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,Nvidia,GeForce 150MX,1549.0
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,0,Nvidia,GeForce GTX 1050,2397.0
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,No OS,Intel,Core i5 7300HQ,2.5GHz,256,0,Nvidia,GeForce GTX 1050,779.0
Acer,Swift 7,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7Y54,1.2GHz,256,0,Intel,HD Graphics 615,989.0
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,128,1,AMD,Radeon 530,1085.0
Lenovo,Thinkpad Yoga,2 in 1 Convertible,14.0,Touchscreen 2560x1440,16GB,Windows 10,Intel,Core i7 7500U,2.7GHz,1,0,Intel,HD Graphics 620,2824.0
Xiaomi,Mi Notebook,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,No OS,Intel,Core i5 7200U,2.5GHz,256,0,Nvidia,GeForce MX150,999.9
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,1600x900,8GB,No OS,Intel,Core i5 8250U,1.6GHz,256,0,Nvidia,GeForce MX150,698.0
Dell,Inspiron 5379,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,Intel,UHD Graphics 620,839.0
HP,ProBook 470,Notebook,17.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,1,Nvidia,GeForce 930MX,914.0
Razer,Blade Pro,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,32GB,Windows 10,Intel,Core i7 7820HK,2.9GHz,1,0,Nvidia,GeForce GTX 1080,6099.0
HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,512,0,Intel,UHD Graphics 620,959.0
HP,Omen 17-W295,Gaming,17.3,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GeForce GTX 1050,1379.0
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Nvidia,GeForce 930MX ,1045.0
Dell,Inspiron 7577,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,1,Nvidia,GeForce GTX 1060,1845.0
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i5 6200U,2.3GHz,128,0,Intel,HD Graphics 520,493.0
Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,0,1,Nvidia,GeForce 940MX,742.0
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,1,Nvidia,GeForce GTX 1060,1749.0
Dell,Precision 7520,Workstation,15.6,4K Ultra HD 3840x2160,16GB,Windows 10,Intel,Xeon E3-1505M V6,3GHz,256,1,Nvidia,Quadro M1200,3055.0
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Full HD 1920x1080,16GB,No OS,Intel,Core i7 7700HQ,2.8GHz,512,0,Nvidia,GeForce GTX 1060,1398.0
Dell,Inspiron 3567,Notebook,15.6,Touchscreen 1366x768,6GB,Windows 10,Intel,Core i3 7100U,2.4GHz,0,1,Intel,HD Graphics 620,439.0
Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Intel,UHD Graphics 620,1949.0
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Intel,UHD Graphics 620,1449.0
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,597.0
Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,8GB,Linux,Intel,Core i7 7700HQ,2.8GHz,0,1,Nvidia,GeForce GTX 1050,779.0
Asus,ROG GL703VD-GC028T,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GeForce GTX 1050,1407.0
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,15.6,Full HD 1920x1080,4GB,No OS,Intel,Core i3 6006U,2GHz,0,500,Intel,HD Graphics 520,349.0
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,8GB,No OS,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,549.0
Huawei,MateBook X,Ultrabook,13.0,IPS Panel Full HD 2160x1440,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,512,0,Intel,HD Graphics 620,1499.0
Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,AMD,Radeon 530,931.88
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,8GB,No OS,Intel,Core i5 7200U,2.5GHz,0,1,Nvidia,GeForce GTX 940MX,589.0
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Nvidia,GeForce 930MX,1031.0
Dell,Latitude 5490,Ultrabook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,1149.0
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,Intel,UHD Graphics 620,1279.0
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,8GB,Linux,Intel,Core i5 8250U,1.6GHz,256,0,AMD,Radeon 520,677.35
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,899.0
Toshiba,Portege Z30-C-16L,Ultrabook,13.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 6500U,2.5GHz,256,0,Intel,HD Graphics 520,1363.0
HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,1,Intel,UHD Graphics 620,794.0
Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GeForce GTX 1060,2456.34
Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,Nvidia,GeForce 940MX,832.0
Dell,Inspiron 5567,Notebook,15.6,Full HD / Touchscreen 1920x1080,16GB,Windows 10,Intel,Core i7 7500U,2.7GHz,0,1,AMD,Radeon R7 M445,859.01
Asus,Vivobook X541UV-DM1217T,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Nvidia,GeForce 920MX ,769.0
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,500,Nvidia,GeForce GTX 950M,891.0
HP,ZBook 15u,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,0,1,AMD,FirePro W4190M ,1269.0
Asus,Pro P2540UA-XO0198T,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 7100U,2.4GHz,0,1,Intel,HD Graphics 620,398.99
HP,15-rb013nv (E2-9000e/4GB/500GB/W10),Notebook,15.6,1366x768,4GB,Windows 10,AMD,E-Series 9000e,1.5GHz,0,500,AMD,Radeon R2,330.0
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GeForce GTX 1060,1499.0
Dell,Vostro 5468,Notebook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,859.0
Acer,Aspire R7,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 6200U,2.3GHz,256,0,Intel,HD Graphics 520,689.0
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,16GB,Linux,Intel,Core i7 7500U,2.7GHz,256,0,AMD,Radeon R7 M445,899.0
Acer,Aspire A315-51,Notebook,15.6,1366x768,4GB,Linux,Intel,Core i3 6006U,2GHz,0,1,Intel,HD Graphics 520,390.0
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,AMD,A10-Series A10-9620P,2.5GHz,128,1,AMD,Radeon R5 M430,575.0
Asus,ROG G703VI-E5062T,Gaming,17.3,Full HD 1920x1080,32GB,Windows 10,Intel,Core i7 7820HK,2.9GHz,512,1,Nvidia,GeForce GTX 1080,3890.0
Acer,Nitro AN515-51,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,256,0,Nvidia,GeForce GTX 1050,846.0
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i3 6006U,2GHz,128,0,Intel,HD Graphics 520,589.0
Asus,VivoBook Pro,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,128,1,Nvidia,GeForce 150MX,1145.0
Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Notebook,17.3,Full HD 1920x1080,8GB,No OS,Intel,Core i7 7500U,2.7GHz,128,1,Nvidia,GeForce GTX 950M,889.0
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,256,0,Nvidia,GeForce GTX 1050,879.0
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,Intel,HD Graphics 620,1079.0
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,128,2,AMD,Radeon 530,985.0
HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Notebook,15.6,Touchscreen 1366x768,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,Intel,HD Graphics 620,559.0
Asus,Rog G701VIK-BA060T,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7820HK,2.9GHz,256,0,Nvidia,GeForce GTX 1080,2999.0
HP,ProBook 430,Notebook,13.3,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,500,Intel,UHD Graphics 620,675.0
Dell,Inspiron 5579,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,Intel,UHD Graphics 620,819.0
Asus,ROG G752VSK-GC493T,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GeForce GTX 980M,1799.0
Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,1366x768,4GB,Windows 10,AMD,A9-Series 9420,3GHz,0,1,AMD,Radeon R5 M420,469.0
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,Intel,UHD Graphics 620,1849.0
Acer,Aspire 5,Notebook,17.3,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 7130U,2.7GHz,256,0,Nvidia,GeForce MX130,702.0
Dell,Vostro 5370,Ultrabook,13.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,949.0
HP,15-BW094nd (A6-9220/8GB/128GB/W10),Notebook,15.6,1366x768,8GB,Windows 10,AMD,A6-Series A6-9220,2.5GHz,128,0,AMD,Radeon R4 Graphics,445.9
HP,Envy 17-U275cl,Notebook,17.3,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,Nvidia,GeForce MX150,1059.0
MSI,GT73EVR 7RE,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,1,Nvidia,GeForce GTX 1070,2499.0
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,0,Nvidia,GeForce GTX 1050M,1699.0
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,128,1,AMD,Radeon 530,1142.0
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,4GB,No OS,Intel,Core i3 6006U,2GHz,256,0,Intel,HD Graphics 520,444.0
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,500,Intel,HD Graphics 620,722.0
Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,Intel,HD Graphics 620,657.0
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,AMD,Radeon R5 M430,565.0
Dell,Inspiron 5579,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,799.0
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,Intel,UHD Graphics 620,1499.0
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,4GB,No OS,Intel,Core i5 7200U,2.5GHz,0,1,Intel,HD Graphics 620,467.0
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,Nvidia,GeForce 930MX ,1018.0
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Intel,UHD Graphics 620,880.0
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,AMD,Ryzen 1700,3GHz,256,1,AMD,Radeon RX 580,1549.0
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,8GB,Linux,Intel,Core i7 8550U,1.8GHz,256,0,AMD,Radeon 520,735.07
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Touchscreen 2560x1440,16GB,Windows 10,Intel,Core i7 6600U,2.6GHz,512,0,Intel,HD Graphics 520,2499.0
Toshiba,Satellite Pro,Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i7 6500U,2.5GHz,0,500,Nvidia,GeForce 930M,812.0
Dell,Inspiron 5567,Notebook,15.6,1366x768,12GB,Windows 10,Intel,Core i7 7500U,2.7GHz,0,1,Intel,HD Graphics 620,713.07
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,8GB,Linux,Intel,Core i7 8550U,1.8GHz,128,1,AMD,Radeon 530,1099.0
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,Nvidia,GeForce MX130,745.0
Lenovo,IdeaPad 320-17ISK,Notebook,17.3,1600x900,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,Intel,HD Graphics 520,489.0
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,Full HD 1920x1080,8GB,No OS,Intel,Core i7 8550U,1.8GHz,0,2,Nvidia,GeForce MX150,849.0
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,6GB,Windows 10,Intel,Core i7 7500U,2.7GHz,128,1,Nvidia,GeForce 940MX,859.0
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,4GB,Linux,Intel,Core i3 6006U,2.0GHz,0,1,AMD,Radeon R5 M430,428.0
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,256,0,Nvidia,GeForce GTX 1050,829.0
Lenovo,Ideapad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,6GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,579.0
Acer,Aspire A517-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Nvidia,GeForce MX150,951.0
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,12GB,Windows 10,Intel,Core i7 7500U,2.7GHz,0,1,Intel,HD Graphics 620,659.0
Lenovo,Thinkpad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,Intel,HD Graphics 630,1097.0
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Nvidia,GeForce 940MX,977.0
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GTX 1050 Ti,1179.0
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,8GB,No OS,Intel,Core i7 7500U,2.7GHz,0,1,Nvidia,GeForce 940MX,659.01
Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,0,1,Nvidia,GeForce GTX 1050,1187.0
HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,17.3,1600x900,8GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,Intel,HD Graphics 520,489.0
Dell,XPS 15,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,0,Nvidia,GeForce GTX 1050,1829.0
Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,739.0
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,0,1,Nvidia,GeForce GTX 1060,1299.0
Acer,Aspire A715-71G,Notebook,15.6,Full HD 1920x1080,8GB,Linux,Intel,Core i7 7700HQ,2.8GHz,256,0,Nvidia,GTX 1050 Ti,979.0
Dell,Precision 7720,Workstation,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7820HQ,2.9GHz,256,0,Nvidia,Quadro M1200,2884.86
Lenovo,IdeaPad 310-15ABR,Notebook,15.6,Full HD 1920x1080,6GB,Windows 10,AMD,A10-Series 9600P,2.4GHz,0,1,AMD,Radeon R5 430,499.0
Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7500U,2.7GHz,512,0,Nvidia,GeForce 940MX,1468.0
Asus,VivoBook S14,Notebook,14.0,1366x768,4GB,Windows 10,Intel,Core i3 7100U,2.4GHz,128,0,Intel,HD Graphics 620,509.0
Asus,Rog GL702VS-GC095T,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GeForce GTX 1070,2122.0
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,6GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,Nvidia,GeForce GTX 940M,649.0
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,8GB,No OS,Intel,Core i5 7200U,2.5GHz,0,2,Nvidia,GeForce 940MX,549.0
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,128,1,Nvidia,GTX 1050 Ti,1265.0
HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,16GB,Windows 10,Intel,Core i7 7600U,2.8GHz,256,0,Intel,HD Graphics 620,1975.0
Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 6500U,2.5GHz,256,0,Nvidia,GeForce 930M,1043.0
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,128,1,Nvidia,GeForce 940MX,819.0
HP,250 G6,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,Intel,HD Graphics 520,469.0
Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,999.0
Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,1,0,Intel,UHD Graphics 620,2499.0
MSI,GE63VR 7RF,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GeForce GTX 1070,2099.0
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,AMD,A8-Series 7410,2.2GHz,256,0,AMD,Radeon R5,469.0
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,128,1,AMD,Radeon 530,844.0
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,1,0,Intel,UHD Graphics 620,2449.0
HP,ProBook 640,Notebook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,980.0
HP,Elitebook 840,Notebook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,Intel,HD Graphics 620,1292.0
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,Nvidia,GeForce 920MX,589.0
Asus,ZenBook UX410UA-GV183T,Notebook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,Intel,HD Graphics 620,1094.0
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1366x768,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,Intel,UHD Graphics 620,902.0
Acer,Aspire 5,Notebook,15.6,1366x768,8GB,Windows 10,AMD,A12-Series 9720P,2.7GHz,256,0,AMD,Radeon RX 540,659.0
Acer,Aspire E5-575,Notebook,15.6,1366x768,6GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,Intel,HD Graphics 620,549.0
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,Nvidia,GeForce 940MX,1049.9
HP,Elitebook 820,Ultrabook,12.5,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,Intel,HD Graphics 620,1335.0
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,32GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,1,0,Nvidia,GeForce GTX 1050,2639.0
MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GTX 1050 Ti,1199.0
Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,943.0
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,1,Intel,HD Graphics 620,1334.0
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,Intel,HD Graphics 520,449.0
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,0,Nvidia,GeForce GTX 1050,999.0
HP,EliteBook 840,Notebook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300U,2.6GHz,256,0,Intel,HD Graphics 620,1268.0
Dell,Inspiron 7570,Ultrabook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,128,1,Nvidia,GeForce 940MX,1049.0
HP,Elitebook 850,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,1144.0
Dell,Inspiron 7570,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Nvidia,GeForce 940MX,1142.75
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,Full HD 1920x1080,12GB,Windows 10,AMD,A12-Series 9720P,3.6GHz,0,2,AMD,Radeon 530,899.0
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i3 7100U,2.4GHz,0,1,Nvidia,GeForce 930MX ,716.0
